Start Location,End Location,Algorithm,output,flag,username,timestamp
Sede Posgrados EIA,"Mall La Frontera, Medellin, Colombia",A*,,,,2024-07-31 19:08:49.238396
,,,,,,2024-07-31 19:20:16.753584
